labels,source,path
male_angry,SAVEE,./datasets/SAVEE/DC/a01.wav
male_angry,SAVEE,./datasets/SAVEE/DC/a02.wav
male_angry,SAVEE,./datasets/SAVEE/DC/a03.wav
male_angry,SAVEE,./datasets/SAVEE/DC/a04.wav
male_angry,SAVEE,./datasets/SAVEE/DC/a05.wav
male_angry,SAVEE,./datasets/SAVEE/DC/a06.wav
male_angry,SAVEE,./datasets/SAVEE/DC/a07.wav
male_angry,SAVEE,./datasets/SAVEE/DC/a08.wav
male_angry,SAVEE,./datasets/SAVEE/DC/a09.wav
male_angry,SAVEE,./datasets/SAVEE/DC/a10.wav
male_angry,SAVEE,./datasets/SAVEE/DC/a11.wav
male_angry,SAVEE,./datasets/SAVEE/DC/a12.wav
male_angry,SAVEE,./datasets/SAVEE/DC/a13.wav
male_angry,SAVEE,./datasets/SAVEE/DC/a14.wav
male_angry,SAVEE,./datasets/SAVEE/DC/a15.wav
male_disgust,SAVEE,./datasets/SAVEE/DC/d01.wav
male_disgust,SAVEE,./datasets/SAVEE/DC/d02.wav
male_disgust,SAVEE,./datasets/SAVEE/DC/d03.wav
male_disgust,SAVEE,./datasets/SAVEE/DC/d04.wav
male_disgust,SAVEE,./datasets/SAVEE/DC/d05.wav
male_disgust,SAVEE,./datasets/SAVEE/DC/d06.wav
male_disgust,SAVEE,./datasets/SAVEE/DC/d07.wav
male_disgust,SAVEE,./datasets/SAVEE/DC/d08.wav
male_disgust,SAVEE,./datasets/SAVEE/DC/d09.wav
male_disgust,SAVEE,./datasets/SAVEE/DC/d10.wav
male_disgust,SAVEE,./datasets/SAVEE/DC/d11.wav
male_disgust,SAVEE,./datasets/SAVEE/DC/d12.wav
male_disgust,SAVEE,./datasets/SAVEE/DC/d13.wav
male_disgust,SAVEE,./datasets/SAVEE/DC/d14.wav
male_disgust,SAVEE,./datasets/SAVEE/DC/d15.wav
male_fear,SAVEE,./datasets/SAVEE/DC/f01.wav
male_fear,SAVEE,./datasets/SAVEE/DC/f02.wav
male_fear,SAVEE,./datasets/SAVEE/DC/f03.wav
male_fear,SAVEE,./datasets/SAVEE/DC/f04.wav
male_fear,SAVEE,./datasets/SAVEE/DC/f05.wav
male_fear,SAVEE,./datasets/SAVEE/DC/f06.wav
male_fear,SAVEE,./datasets/SAVEE/DC/f07.wav
male_fear,SAVEE,./datasets/SAVEE/DC/f08.wav
male_fear,SAVEE,./datasets/SAVEE/DC/f09.wav
male_fear,SAVEE,./datasets/SAVEE/DC/f10.wav
male_fear,SAVEE,./datasets/SAVEE/DC/f11.wav
male_fear,SAVEE,./datasets/SAVEE/DC/f12.wav
male_fear,SAVEE,./datasets/SAVEE/DC/f13.wav
male_fear,SAVEE,./datasets/SAVEE/DC/f14.wav
male_fear,SAVEE,./datasets/SAVEE/DC/f15.wav
male_happy,SAVEE,./datasets/SAVEE/DC/h01.wav
male_happy,SAVEE,./datasets/SAVEE/DC/h02.wav
male_happy,SAVEE,./datasets/SAVEE/DC/h03.wav
male_happy,SAVEE,./datasets/SAVEE/DC/h04.wav
male_happy,SAVEE,./datasets/SAVEE/DC/h05.wav
male_happy,SAVEE,./datasets/SAVEE/DC/h06.wav
male_happy,SAVEE,./datasets/SAVEE/DC/h07.wav
male_happy,SAVEE,./datasets/SAVEE/DC/h08.wav
